ticker,strategy,entry_date,exit_date,entry_price,exit_price,shares,pct_gain,dollar_pnl
PEP,bb_lower_touch,2026-06-30,2026-07-15,135.4,135.39999389648438,73,-0.0,-0.0
DIS,bb_lower_touch,2026-06-30,2026-07-15,96.25,97.1500015258789,103,0.9351,92.7
MDLZ,bb_lower_touch,2026-06-30,2026-07-15,57.84,58.720001220703125,172,1.5214,151.36
CI,rsi_oversold,2026-06-30,2026-07-15,275.68,297.80999755859375,36,8.0274,796.68
ZTS,rsi_oversold,2026-06-30,2026-07-15,71.86,74.52999877929688,139,3.7156,371.13
ISRG,rsi_oversold,2026-06-30,2026-07-15,397.68,388.9700012207031,25,-2.1902,-217.75
PLD,rsi_oversold,2026-06-30,2026-07-15,135.47,143.4199981689453,73,5.8685,580.35
PLD,bb_lower_touch,2026-06-30,2026-07-15,135.47,143.4199981689453,73,5.8685,580.35
AMT,bb_lower_touch,2026-06-30,2026-07-15,163.57,168.6300048828125,61,3.0935,308.66
CCI,bb_lower_touch,2026-06-30,2026-07-15,75.73,79.47000122070312,132,4.9386,493.68
WMT,rsi_oversold,2026-07-02,2026-07-17,111.84,114.23999786376953,89,2.1459,213.6
EQIX,bb_lower_touch,2026-07-02,2026-07-17,1002.02,1020.0,9,1.7944,161.82
MCD,52w_low_bounce,2026-06-29,2026-07-28,267.18,273.0199890136719,37,2.1858,216.08
ACN,52w_low_bounce,2026-06-29,2026-07-28,124.74,164.66000366210938,80,32.0026,3193.6
NKE,52w_low_bounce,2026-06-29,2026-07-28,41.48,43.04999923706055,241,3.785,378.37
ZTS,52w_low_bounce,2026-06-29,2026-07-28,73.25,77.51000213623047,136,5.8157,579.36
ISRG,52w_low_bounce,2026-06-29,2026-07-28,405.97,361.79998779296875,24,-10.8801,-1060.08
AMT,52w_low_bounce,2026-06-29,2026-07-28,168.67,171.5,59,1.6778,166.97
NOC,52w_low_bounce,2026-06-29,2026-07-28,496.02,549.219970703125,20,10.7254,1064.0
INTC,rsi_oversold,2026-07-13,2026-07-28,103.12,86.30000305175781,96,-16.3111,-1614.72
NFLX,52w_low_bounce,2026-06-30,2026-07-29,71.4,73.62999725341797,140,3.1232,312.2
CCI,52w_low_bounce,2026-06-30,2026-07-29,75.73,79.08999633789062,132,4.4368,443.52
QCOM,rsi_oversold,2026-07-16,2026-07-31,170.61,147.61000061035156,58,-13.481,-1334.0
CAT,rsi_oversold,2026-07-16,2026-07-31,877.17,814.8099975585938,11,-7.1092,-685.96
MU,rsi_oversold,2026-07-16,2026-07-31,853.2,823.030029296875,11,-3.5361,-331.87
ACN,rsi_oversold,2026-06-29,2026-08-06,123.8,158.92,80,28.3683,2809.6
XOM,rsi_oversold,2026-06-29,2026-08-06,136.95,153.701507,73,12.2318,1222.86
CVX,rsi_oversold,2026-06-29,2026-08-06,170.29,188.326271,59,10.5915,1064.14
CRM,rsi_oversold,2026-06-29,2026-08-06,157.39,183.76,63,16.7546,1661.31
VZ,bb_lower_touch,2026-06-29,2026-08-06,44.08,47.157743,226,6.9822,695.57
ADBE,rsi_oversold,2026-06-29,2026-08-06,204.6,252.26625,48,23.2973,2287.98
NFLX,rsi_oversold,2026-06-29,2026-08-06,73.27,74.671111,135,1.9123,189.15
ZTS,bb_lower_touch,2026-06-29,2026-08-06,73.05,75.4,136,3.217,319.6
SLB,rsi_oversold,2026-06-29,2026-08-06,47.03,50.74,215,7.8886,797.65
AMT,rsi_oversold,2026-06-29,2026-08-06,168.16,169.726271,59,0.9314,92.41
CCI,rsi_oversold,2026-06-29,2026-08-06,78.44,74.509213,127,-5.0112,-499.21
NOC,rsi_oversold,2026-06-29,2026-08-06,500.5,563.068,20,12.5011,1251.36
SNAP,rsi_oversold,2026-06-29,2026-08-06,4.43,5.202755,2262,17.4437,1747.97
GOOGL,rsi_oversold,2026-07-24,2026-08-11,319.74,353.988065,31,10.7112,1061.69
AMZN,rsi_oversold,2026-07-29,2026-08-14,226.65,264.403182,44,16.657,1661.14
TSLA,rsi_oversold,2026-07-29,2026-08-14,298.32,343.559091,33,15.1646,1492.89
INTC,rsi_oversold,2026-07-29,2026-08-14,81.88,105.307787,122,28.6123,2858.19
TXN,rsi_oversold,2026-07-29,2026-08-14,271.3,273.391945,36,0.7711,75.31
IBM,rsi_oversold,2026-07-29,2026-08-14,226.44,238.063637,44,5.1332,511.44
TWLO,rsi_oversold,2026-07-29,2026-08-14,188.25,247.963207,53,31.7202,3164.8
AFRM,rsi_oversold,2026-07-29,2026-08-14,70.11,79.788733,142,13.8051,1374.38
SOFI,rsi_oversold,2026-07-29,2026-08-14,15.25,18.453679,655,21.0077,2098.41
COST,macd_bull_cross,2026-07-16,2026-08-17,945.57,953.718,10,0.8617,81.48
DIS,macd_bull_cross,2026-07-16,2026-08-17,99.71,105.8534,100,6.1613,614.34
MDLZ,macd_bull_cross,2026-07-16,2026-08-17,61.42,63.096357,162,2.7293,271.57
GM,macd_bull_cross,2026-07-16,2026-08-17,77.72,85.610781,128,10.1528,1010.02
UWMC,52w_low_bounce,2026-07-16,2026-08-17,2.05,1.533389,4878,-25.2005,-2520.03
